state,crop,crop_year,yield_t_per_ha,season,split
Tamil Nadu,Groundnut,2022,1.39,Kharif,train
Punjab,Soybean,2017,0.98,Kharif,train
West Bengal,Mustard,2019,1.13,Rabi,train
Gujarat,Rice,2025,2.84,Kharif,train
Karnataka,Soybean,2023,1.23,Kharif,train
Punjab,Soybean,2023,1.06,Kharif,train
Karnataka,Bajra,2021,1.24,Kharif,train
Maharashtra,Rice,2017,2.24,Kharif,train
Rajasthan,Mustard,2017,1.47,Rabi,train
Karnataka,Maize,2023,3.73,Kharif,train
Madhya Pradesh,Tomato,2025,21.86,Rabi,train
Maharashtra,Soybean,2023,0.97,Kharif,train
Andhra Pradesh,Banana,2015,30.65,Rabi,train
West Bengal,Soybean,2015,0.96,Kharif,train
Maharashtra,Soybean,2019,1.13,Kharif,train
Andhra Pradesh,Tomato,2022,20.31,Rabi,train
Punjab,Tomato,2021,26.47,Rabi,train
Madhya Pradesh,Tomato,2022,29.98,Rabi,train
Andhra Pradesh,Sugarcane,2018,59.0,Rabi,train
Andhra Pradesh,Jowar,2020,1.1,Kharif,train
Maharashtra,Bajra,2023,1.09,Kharif,train
Uttar Pradesh,Mustard,2023,1.07,Rabi,train
Tamil Nadu,Tomato,2017,28.2,Rabi,train
Maharashtra,Wheat,2015,3.74,Rabi,train
Gujarat,Mustard,2018,1.13,Rabi,train
Andhra Pradesh,Mustard,2020,1.12,Rabi,train
Rajasthan,Banana,2015,32.74,Rabi,train
Madhya Pradesh,Potato,2020,24.52,Rabi,train
Bihar,Bajra,2021,1.05,Kharif,train
Karnataka,Rice,2024,2.77,Kharif,train
Haryana,Mustard,2018,1.47,Rabi,train
Karnataka,Mustard,2021,1.27,Rabi,train
Uttar Pradesh,Tomato,2024,28.41,Rabi,train
Madhya Pradesh,Wheat,2023,2.81,Rabi,train
Tamil Nadu,Gram,2024,1.08,Rabi,train
Haryana,Mustard,2016,1.29,Rabi,train
Haryana,Potato,2021,19.61,Rabi,train
West Bengal,Maize,2025,3.29,Kharif,train
Andhra Pradesh,Soybean,2022,1.23,Kharif,train
Rajasthan,Wheat,2024,3.49,Rabi,train
Madhya Pradesh,Gram,2025,1.15,Rabi,train
Madhya Pradesh,Bajra,2019,1.22,Kharif,train
Punjab,Mustard,2020,1.22,Rabi,train
Maharashtra,Bajra,2017,1.56,Kharif,train
Bihar,Gram,2015,1.26,Rabi,train
Madhya Pradesh,Mustard,2019,1.08,Rabi,train
Gujarat,Bajra,2018,1.14,Kharif,train
Madhya Pradesh,Mustard,2024,1.06,Rabi,train
Maharashtra,Onion,2018,19.12,Rabi,train
Maharashtra,Potato,2022,22.01,Rabi,train
Madhya Pradesh,Wheat,2022,3.64,Rabi,train
West Bengal,Cotton,2023,0.56,Kharif,train
Rajasthan,Mustard,2015,1.43,Rabi,train
Andhra Pradesh,Bajra,2021,1.05,Kharif,train
Rajasthan,Wheat,2016,4.02,Rabi,train
Haryana,Jowar,2015,1.18,Kharif,train
Bihar,Soybean,2019,1.28,Kharif,train
Tamil Nadu,Onion,2015,14.62,Rabi,train
Karnataka,Onion,2018,20.38,Rabi,train
Gujarat,Jowar,2020,0.82,Kharif,train
Bihar,Gram,2019,1.19,Rabi,train
Bihar,Onion,2024,16.11,Rabi,train
Tamil Nadu,Potato,2023,25.43,Rabi,train
Andhra Pradesh,Gram,2016,1.17,Rabi,train
Karnataka,Groundnut,2024,1.17,Kharif,train
Bihar,Groundnut,2025,1.44,Kharif,train
Madhya Pradesh,Jowar,2022,0.89,Kharif,train
Andhra Pradesh,Cotton,2019,0.41,Kharif,train
Gujarat,Rice,2021,2.59,Kharif,train
Tamil Nadu,Sugarcane,2015,60.72,Rabi,train
Karnataka,Groundnut,2023,1.63,Kharif,train
Gujarat,Onion,2025,19.05,Rabi,train
West Bengal,Cotton,2021,0.42,Kharif,train
Uttar Pradesh,Banana,2024,37.57,Rabi,train
Andhra Pradesh,Mustard,2022,1.21,Rabi,train
Haryana,Bajra,2017,1.3,Kharif,train
Rajasthan,Wheat,2018,3.38,Rabi,train
Uttar Pradesh,Maize,2021,3.27,Kharif,train
West Bengal,Rice,2025,3.22,Kharif,train
Haryana,Tomato,2020,22.52,Rabi,train
Maharashtra,Potato,2016,19.5,Rabi,train
Rajasthan,Cotton,2017,0.6,Kharif,train
West Bengal,Wheat,2018,3.4,Rabi,train
Haryana,Cotton,2025,0.47,Kharif,train
West Bengal,Bajra,2015,1.1,Kharif,train
Bihar,Potato,2019,26.55,Rabi,train
Punjab,Potato,2018,25.43,Rabi,train
Bihar,Onion,2021,18.87,Rabi,train
Rajasthan,Soybean,2021,0.91,Kharif,train
Bihar,Tomato,2025,22.13,Rabi,train
Uttar Pradesh,Cotton,2015,0.45,Kharif,train
Maharashtra,Rice,2025,2.45,Kharif,train
Maharashtra,Banana,2020,35.31,Rabi,train
Tamil Nadu,Bajra,2025,1.07,Kharif,train
Bihar,Soybean,2018,1.13,Kharif,train
Andhra Pradesh,Sugarcane,2020,59.14,Rabi,train
Madhya Pradesh,Banana,2018,41.83,Rabi,train
Rajasthan,Onion,2025,14.87,Rabi,train
Madhya Pradesh,Mustard,2018,1.45,Rabi,train
Punjab,Bajra,2023,1.49,Kharif,train
Andhra Pradesh,Onion,2025,18.78,Rabi,train
Madhya Pradesh,Onion,2024,15.5,Rabi,train
Maharashtra,Maize,2020,3.14,Kharif,train
Maharashtra,Wheat,2022,2.97,Rabi,train
Punjab,Onion,2019,14.4,Rabi,train
Madhya Pradesh,Sugarcane,2016,76.7,Rabi,train
Andhra Pradesh,Tomato,2019,25.04,Rabi,train
Uttar Pradesh,Sugarcane,2021,61.3,Rabi,train
Tamil Nadu,Wheat,2020,3.07,Rabi,train
West Bengal,Maize,2015,2.56,Kharif,train
Punjab,Onion,2022,14.48,Rabi,train
West Bengal,Potato,2018,23.73,Rabi,train
Haryana,Banana,2025,41.6,Rabi,train
Punjab,Rice,2021,2.22,Kharif,train
Madhya Pradesh,Bajra,2017,1.43,Kharif,train
Tamil Nadu,Potato,2017,22.03,Rabi,train
Karnataka,Potato,2023,18.98,Rabi,train
West Bengal,Tomato,2018,25.64,Rabi,train
Uttar Pradesh,Jowar,2015,1.05,Kharif,train
Uttar Pradesh,Banana,2021,34.92,Rabi,train
Gujarat,Mustard,2017,1.45,Rabi,train
Haryana,Jowar,2016,0.9,Kharif,train
Karnataka,Onion,2022,14.98,Rabi,train
Rajasthan,Mustard,2022,1.31,Rabi,train
Gujarat,Cotton,2015,0.48,Kharif,train
Madhya Pradesh,Onion,2021,15.86,Rabi,train
Rajasthan,Bajra,2020,1.13,Kharif,train
Rajasthan,Wheat,2017,3.17,Rabi,train
Rajasthan,Mustard,2016,1.13,Rabi,train
Madhya Pradesh,Bajra,2022,1.36,Kharif,train
Bihar,Tomato,2016,26.58,Rabi,train
Andhra Pradesh,Soybean,2023,1.19,Kharif,train
Rajasthan,Jowar,2015,1.08,Kharif,train
West Bengal,Rice,2023,2.52,Kharif,train
Haryana,Banana,2023,41.79,Rabi,train
West Bengal,Bajra,2019,1.37,Kharif,train
Madhya Pradesh,Mustard,2020,1.14,Rabi,train
Tamil Nadu,Groundnut,2020,1.23,Kharif,train
Tamil Nadu,Rice,2019,2.95,Kharif,train
Gujarat,Tomato,2024,24.0,Rabi,train
Haryana,Wheat,2016,3.52,Rabi,train
Gujarat,Wheat,2015,3.45,Rabi,train
Bihar,Groundnut,2018,1.29,Kharif,train
Punjab,Onion,2024,16.26,Rabi,train
Gujarat,Tomato,2022,20.57,Rabi,train
Rajasthan,Potato,2025,20.92,Rabi,train
Uttar Pradesh,Jowar,2021,1.13,Kharif,train
West Bengal,Banana,2022,34.26,Rabi,train
Punjab,Sugarcane,2025,60.26,Rabi,train
Bihar,Rice,2016,2.66,Kharif,train
Maharashtra,Mustard,2020,1.29,Rabi,train
Madhya Pradesh,Wheat,2021,3.11,Rabi,train
Haryana,Potato,2016,26.0,Rabi,train
Punjab,Bajra,2018,1.36,Kharif,train
Bihar,Bajra,2019,1.15,Kharif,train
Bihar,Groundnut,2016,1.43,Kharif,train
Andhra Pradesh,Tomato,2023,24.13,Rabi,train
Haryana,Rice,2024,3.04,Kharif,train
West Bengal,Soybean,2021,1.3,Kharif,train
Maharashtra,Groundnut,2021,1.19,Kharif,train
Bihar,Potato,2018,25.05,Rabi,train
Punjab,Wheat,2022,3.61,Rabi,train
Uttar Pradesh,Groundnut,2020,1.33,Kharif,train
Gujarat,Rice,2023,2.91,Kharif,train
Haryana,Bajra,2025,1.5,Kharif,train
Bihar,Onion,2020,13.85,Rabi,train
Uttar Pradesh,Groundnut,2025,1.12,Kharif,train
Bihar,Rice,2024,2.67,Kharif,train
Madhya Pradesh,Tomato,2019,28.98,Rabi,train
Madhya Pradesh,Rice,2024,2.43,Kharif,train
Punjab,Maize,2024,3.04,Kharif,train
Rajasthan,Soybean,2016,1.26,Kharif,train
Karnataka,Gram,2024,1.14,Rabi,train
Haryana,Sugarcane,2020,76.29,Rabi,train
Gujarat,Onion,2019,15.4,Rabi,train
Haryana,Banana,2022,28.9,Rabi,train
Maharashtra,Potato,2025,21.72,Rabi,train
Andhra Pradesh,Banana,2025,34.09,Rabi,train
Madhya Pradesh,Cotton,2022,0.47,Kharif,train
Rajasthan,Jowar,2016,0.88,Kharif,train
Andhra Pradesh,Maize,2015,3.36,Kharif,train
Uttar Pradesh,Wheat,2015,4.09,Rabi,train
Maharashtra,Gram,2017,1.16,Rabi,train
Punjab,Mustard,2019,1.09,Rabi,train
Andhra Pradesh,Maize,2023,2.74,Kharif,train
Uttar Pradesh,Maize,2023,2.9,Kharif,train
Punjab,Onion,2021,18.82,Rabi,train
Punjab,Sugarcane,2019,76.42,Rabi,train
Uttar Pradesh,Gram,2021,0.93,Rabi,train
Punjab,Banana,2016,30.05,Rabi,train
Madhya Pradesh,Groundnut,2019,1.32,Kharif,train
West Bengal,Potato,2019,26.65,Rabi,train
Andhra Pradesh,Jowar,2025,0.86,Kharif,train
Gujarat,Tomato,2016,26.84,Rabi,train
Andhra Pradesh,Cotton,2017,0.54,Kharif,train
Bihar,Jowar,2023,0.82,Kharif,train
Maharashtra,Rice,2020,2.96,Kharif,train
Tamil Nadu,Wheat,2023,4.14,Rabi,train
Haryana,Wheat,2018,2.84,Rabi,train
Tamil Nadu,Sugarcane,2018,70.86,Rabi,train
Tamil Nadu,Rice,2023,2.7,Kharif,train
Madhya Pradesh,Soybean,2020,1.06,Kharif,train
Karnataka,Potato,2021,25.72,Rabi,train
Bihar,Jowar,2022,0.87,Kharif,train
Maharashtra,Cotton,2015,0.43,Kharif,train
Uttar Pradesh,Wheat,2020,3.76,Rabi,train
Bihar,Tomato,2024,26.81,Rabi,train
Rajasthan,Jowar,2019,1.03,Kharif,train
Gujarat,Jowar,2015,1.05,Kharif,train
Rajasthan,Gram,2020,1.06,Rabi,train
Karnataka,Banana,2018,34.42,Rabi,train
Maharashtra,Soybean,2022,0.95,Kharif,train
Gujarat,Onion,2020,15.13,Rabi,train
Haryana,Onion,2016,19.79,Rabi,train
Gujarat,Maize,2020,3.43,Kharif,train
Tamil Nadu,Tomato,2016,20.48,Rabi,train
Gujarat,Gram,2023,0.98,Rabi,train
Haryana,Mustard,2019,1.12,Rabi,train
Uttar Pradesh,Soybean,2021,0.98,Kharif,train
Rajasthan,Potato,2024,22.96,Rabi,train
Karnataka,Onion,2019,16.07,Rabi,train
Haryana,Mustard,2015,1.25,Rabi,train
Uttar Pradesh,Soybean,2016,0.92,Kharif,train
Madhya Pradesh,Rice,2015,2.65,Kharif,train
Uttar Pradesh,Cotton,2022,0.55,Kharif,train
Maharashtra,Tomato,2020,22.86,Rabi,train
Gujarat,Groundnut,2019,1.57,Kharif,train
Haryana,Wheat,2020,3.19,Rabi,train
Rajasthan,Soybean,2018,1.19,Kharif,train
Maharashtra,Jowar,2020,1.01,Kharif,train
Tamil Nadu,Jowar,2022,1.0,Kharif,train
Rajasthan,Cotton,2021,0.58,Kharif,train
Andhra Pradesh,Sugarcane,2024,73.76,Rabi,train
Gujarat,Onion,2024,15.09,Rabi,train
Rajasthan,Rice,2023,2.22,Kharif,train
Tamil Nadu,Tomato,2022,26.64,Rabi,train
Haryana,Jowar,2025,0.83,Kharif,train
Gujarat,Gram,2020,0.99,Rabi,train
Uttar Pradesh,Jowar,2025,1.16,Kharif,train
Andhra Pradesh,Gram,2015,1.25,Rabi,train
Andhra Pradesh,Rice,2024,2.84,Kharif,train
Uttar Pradesh,Sugarcane,2018,56.43,Rabi,train
Tamil Nadu,Soybean,2017,1.16,Kharif,train
Punjab,Soybean,2021,1.0,Kharif,train
Punjab,Jowar,2020,0.88,Kharif,train
Rajasthan,Onion,2023,19.53,Rabi,train
Madhya Pradesh,Banana,2025,31.28,Rabi,train
Uttar Pradesh,Maize,2018,3.66,Kharif,train
Bihar,Bajra,2020,1.12,Kharif,train
Madhya Pradesh,Maize,2015,3.79,Kharif,train
Rajasthan,Banana,2024,28.75,Rabi,train
Karnataka,Wheat,2024,4.19,Rabi,train
Haryana,Sugarcane,2015,78.42,Rabi,train
Karnataka,Maize,2025,2.94,Kharif,train
Punjab,Gram,2023,1.04,Rabi,train
Gujarat,Soybean,2018,1.09,Kharif,train
Gujarat,Rice,2019,2.58,Kharif,train
Rajasthan,Rice,2025,2.76,Kharif,train
Bihar,Tomato,2022,26.96,Rabi,train
Tamil Nadu,Groundnut,2021,1.47,Kharif,train
Karnataka,Cotton,2022,0.49,Kharif,train
Madhya Pradesh,Sugarcane,2022,62.46,Rabi,train
Andhra Pradesh,Groundnut,2023,1.59,Kharif,train
Karnataka,Wheat,2017,3.15,Rabi,train
Bihar,Wheat,2024,3.65,Rabi,train
Punjab,Rice,2025,2.24,Kharif,train
West Bengal,Gram,2016,1.31,Rabi,train
Tamil Nadu,Jowar,2016,0.8,Kharif,train
Haryana,Bajra,2022,1.29,Kharif,train
West Bengal,Jowar,2020,1.16,Kharif,train
Haryana,Jowar,2020,0.85,Kharif,train
Madhya Pradesh,Groundnut,2021,1.58,Kharif,train
Maharashtra,Jowar,2025,1.19,Kharif,train
Karnataka,Groundnut,2017,1.61,Kharif,train
Bihar,Groundnut,2024,1.15,Kharif,train
Punjab,Jowar,2023,0.82,Kharif,train
Andhra Pradesh,Rice,2023,3.14,Kharif,train
Haryana,Banana,2019,32.64,Rabi,train
Tamil Nadu,Groundnut,2016,1.32,Kharif,train
Madhya Pradesh,Banana,2020,29.18,Rabi,train
Gujarat,Mustard,2024,1.45,Rabi,train
Rajasthan,Maize,2025,2.82,Kharif,train
Karnataka,Sugarcane,2020,59.96,Rabi,train
Andhra Pradesh,Onion,2018,15.07,Rabi,train
Madhya Pradesh,Cotton,2017,0.45,Kharif,train
Haryana,Sugarcane,2021,60.76,Rabi,train
Andhra Pradesh,Mustard,2018,1.48,Rabi,train
Bihar,Sugarcane,2023,64.88,Rabi,train
Punjab,Banana,2019,35.39,Rabi,train
Gujarat,Rice,2018,2.38,Kharif,train
Rajasthan,Rice,2015,2.84,Kharif,train
Maharashtra,Gram,2022,1.06,Rabi,train
Maharashtra,Wheat,2025,4.17,Rabi,train
Rajasthan,Tomato,2024,27.22,Rabi,train
Maharashtra,Soybean,2018,1.01,Kharif,train
Haryana,Maize,2023,3.71,Kharif,train
Bihar,Gram,2025,0.89,Rabi,train
Karnataka,Wheat,2022,3.26,Rabi,train
Uttar Pradesh,Onion,2018,15.59,Rabi,train
Punjab,Groundnut,2023,1.32,Kharif,train
Rajasthan,Potato,2017,20.06,Rabi,train
Andhra Pradesh,Banana,2019,41.47,Rabi,train
Punjab,Banana,2017,35.6,Rabi,train
Uttar Pradesh,Groundnut,2016,1.66,Kharif,train
West Bengal,Gram,2018,0.94,Rabi,train
Uttar Pradesh,Mustard,2019,1.43,Rabi,train
Tamil Nadu,Maize,2016,3.75,Kharif,train
Madhya Pradesh,Rice,2023,2.3,Kharif,train
Tamil Nadu,Cotton,2021,0.44,Kharif,train
Rajasthan,Cotton,2020,0.46,Kharif,train
Andhra Pradesh,Jowar,2023,0.94,Kharif,train
Uttar Pradesh,Bajra,2022,1.37,Kharif,train
Maharashtra,Potato,2018,24.96,Rabi,train
Haryana,Wheat,2017,3.3,Rabi,train
Uttar Pradesh,Potato,2020,24.73,Rabi,train
Maharashtra,Onion,2021,20.0,Rabi,train
Karnataka,Banana,2015,31.29,Rabi,train
West Bengal,Cotton,2022,0.51,Kharif,train
Andhra Pradesh,Bajra,2022,1.15,Kharif,train
Bihar,Mustard,2015,1.05,Rabi,train
West Bengal,Onion,2025,16.91,Rabi,train
Madhya Pradesh,Banana,2021,29.35,Rabi,train
Tamil Nadu,Wheat,2021,4.17,Rabi,train
Gujarat,Tomato,2021,23.55,Rabi,train
Gujarat,Rice,2015,2.37,Kharif,train
Madhya Pradesh,Rice,2019,2.41,Kharif,train
Punjab,Gram,2025,1.25,Rabi,train
Bihar,Wheat,2020,2.91,Rabi,train
Gujarat,Groundnut,2021,1.38,Kharif,train
Karnataka,Cotton,2021,0.57,Kharif,train
Uttar Pradesh,Groundnut,2018,1.32,Kharif,train
Maharashtra,Gram,2024,1.3,Rabi,train
Gujarat,Tomato,2020,29.84,Rabi,train
Madhya Pradesh,Gram,2022,1.2,Rabi,train
Bihar,Bajra,2022,1.04,Kharif,train
Maharashtra,Bajra,2025,1.17,Kharif,train
Haryana,Jowar,2023,0.83,Kharif,train
Karnataka,Soybean,2022,1.1,Kharif,train
Bihar,Cotton,2015,0.47,Kharif,train
Rajasthan,Tomato,2017,27.08,Rabi,train
Punjab,Groundnut,2015,1.17,Kharif,train
Punjab,Cotton,2023,0.46,Kharif,train
West Bengal,Gram,2017,0.9,Rabi,train
Rajasthan,Groundnut,2025,1.52,Kharif,train
Punjab,Jowar,2025,0.86,Kharif,train
Karnataka,Mustard,2020,1.38,Rabi,train
Bihar,Onion,2025,19.19,Rabi,train
West Bengal,Jowar,2024,1.11,Kharif,train
Rajasthan,Maize,2015,3.72,Kharif,train
Gujarat,Rice,2024,2.7,Kharif,train
Gujarat,Banana,2024,29.95,Rabi,train
Punjab,Banana,2025,30.34,Rabi,train
Madhya Pradesh,Potato,2024,20.36,Rabi,train
Haryana,Jowar,2019,1.14,Kharif,train
Rajasthan,Banana,2021,40.78,Rabi,train
Bihar,Cotton,2016,0.49,Kharif,train
Rajasthan,Potato,2022,19.2,Rabi,train
Tamil Nadu,Rice,2015,2.71,Kharif,train
Bihar,Potato,2015,24.24,Rabi,train
Madhya Pradesh,Bajra,2023,1.18,Kharif,train
Karnataka,Wheat,2018,3.14,Rabi,train
Uttar Pradesh,Wheat,2022,2.9,Rabi,train
Rajasthan,Soybean,2025,1.11,Kharif,train
Maharashtra,Tomato,2025,21.9,Rabi,train
Karnataka,Jowar,2017,0.96,Kharif,train
Rajasthan,Sugarcane,2024,81.54,Rabi,train
Gujarat,Gram,2016,0.89,Rabi,train
Bihar,Groundnut,2017,1.26,Kharif,train
Andhra Pradesh,Mustard,2019,1.12,Rabi,train
Andhra Pradesh,Wheat,2022,3.81,Rabi,train
Uttar Pradesh,Jowar,2022,1.12,Kharif,train
Uttar Pradesh,Sugarcane,2016,56.51,Rabi,train
West Bengal,Tomato,2020,25.17,Rabi,train
Uttar Pradesh,Rice,2018,3.0,Kharif,train
West Bengal,Cotton,2015,0.45,Kharif,train
West Bengal,Groundnut,2020,1.55,Kharif,train
Gujarat,Jowar,2016,1.06,Kharif,train
Madhya Pradesh,Banana,2017,40.37,Rabi,train
Tamil Nadu,Bajra,2018,1.42,Kharif,train
Karnataka,Mustard,2023,1.05,Rabi,train
Rajasthan,Maize,2017,3.81,Kharif,train
Gujarat,Rice,2017,2.28,Kharif,train
Karnataka,Banana,2024,29.28,Rabi,train
Karnataka,Onion,2023,13.64,Rabi,train
Rajasthan,Groundnut,2021,1.41,Kharif,train
Tamil Nadu,Jowar,2018,1.18,Kharif,train
Haryana,Banana,2024,39.04,Rabi,train
Rajasthan,Onion,2015,19.11,Rabi,train
Haryana,Mustard,2025,1.42,Rabi,train
Bihar,Maize,2022,3.48,Kharif,train
Gujarat,Maize,2016,3.69,Kharif,train
West Bengal,Onion,2020,17.13,Rabi,train
Haryana,Rice,2017,3.0,Kharif,train
Punjab,Wheat,2016,3.39,Rabi,train
Rajasthan,Groundnut,2018,1.33,Kharif,train
Haryana,Rice,2021,3.22,Kharif,train
Maharashtra,Banana,2015,39.98,Rabi,train
West Bengal,Bajra,2022,1.24,Kharif,train
Haryana,Groundnut,2022,1.53,Kharif,train
Andhra Pradesh,Tomato,2015,27.16,Rabi,train
Gujarat,Tomato,2023,22.74,Rabi,train
Karnataka,Tomato,2025,25.67,Rabi,train
Madhya Pradesh,Wheat,2016,2.96,Rabi,train
Haryana,Groundnut,2020,1.22,Kharif,train
Karnataka,Wheat,2023,3.35,Rabi,train
Karnataka,Cotton,2024,0.56,Kharif,train
Andhra Pradesh,Maize,2020,2.7,Kharif,train
Punjab,Gram,2021,0.99,Rabi,train
Karnataka,Tomato,2017,20.91,Rabi,train
Rajasthan,Rice,2020,2.84,Kharif,train
Maharashtra,Sugarcane,2025,77.02,Rabi,train
Tamil Nadu,Maize,2025,3.2,Kharif,train
Bihar,Maize,2019,3.18,Kharif,train
Andhra Pradesh,Tomato,2017,23.21,Rabi,train
Andhra Pradesh,Rice,2025,2.91,Kharif,train
Maharashtra,Potato,2023,27.59,Rabi,train
Punjab,Gram,2022,1.03,Rabi,train
West Bengal,Tomato,2016,27.01,Rabi,train
Maharashtra,Cotton,2018,0.43,Kharif,train
Haryana,Potato,2019,21.62,Rabi,train
Madhya Pradesh,Potato,2023,22.02,Rabi,train
Madhya Pradesh,Jowar,2020,1.18,Kharif,train
West Bengal,Sugarcane,2022,77.03,Rabi,train
Karnataka,Mustard,2025,1.29,Rabi,train
Uttar Pradesh,Onion,2017,15.25,Rabi,train
Haryana,Banana,2021,35.17,Rabi,train
Tamil Nadu,Groundnut,2024,1.64,Kharif,train
Haryana,Gram,2017,1.27,Rabi,train
Andhra Pradesh,Groundnut,2019,1.57,Kharif,train
Tamil Nadu,Gram,2021,0.88,Rabi,train
Punjab,Maize,2018,2.71,Kharif,train
Rajasthan,Maize,2019,3.71,Kharif,train
Madhya Pradesh,Sugarcane,2025,64.26,Rabi,train
Bihar,Potato,2024,20.15,Rabi,train
Haryana,Maize,2021,2.82,Kharif,train
Uttar Pradesh,Bajra,2015,1.41,Kharif,train
Maharashtra,Onion,2016,20.1,Rabi,train
Karnataka,Jowar,2015,1.11,Kharif,train
Maharashtra,Rice,2023,2.17,Kharif,train
Maharashtra,Bajra,2015,1.15,Kharif,train
Andhra Pradesh,Rice,2020,3.11,Kharif,train
Tamil Nadu,Banana,2022,31.04,Rabi,train
West Bengal,Bajra,2024,1.12,Kharif,train
Karnataka,Wheat,2025,3.51,Rabi,train
Punjab,Rice,2018,2.24,Kharif,train
Tamil Nadu,Mustard,2019,1.06,Rabi,train
Andhra Pradesh,Potato,2015,24.21,Rabi,train
Uttar Pradesh,Gram,2020,1.04,Rabi,train
Haryana,Banana,2017,34.17,Rabi,train
Punjab,Rice,2020,2.55,Kharif,train
Haryana,Potato,2017,27.42,Rabi,train
Gujarat,Cotton,2021,0.49,Kharif,train
Maharashtra,Sugarcane,2023,79.53,Rabi,train
Haryana,Potato,2023,27.33,Rabi,train
Punjab,Cotton,2021,0.52,Kharif,train
Maharashtra,Sugarcane,2018,68.62,Rabi,train
Haryana,Onion,2015,14.49,Rabi,train
Karnataka,Tomato,2022,23.08,Rabi,train
Tamil Nadu,Jowar,2025,0.87,Kharif,train
Punjab,Gram,2019,1.15,Rabi,train
Andhra Pradesh,Maize,2017,3.73,Kharif,train
West Bengal,Groundnut,2015,1.44,Kharif,train
Bihar,Tomato,2020,26.17,Rabi,train
Tamil Nadu,Wheat,2018,3.82,Rabi,train
Karnataka,Rice,2019,3.07,Kharif,train
Uttar Pradesh,Bajra,2020,1.12,Kharif,train
Karnataka,Wheat,2021,3.61,Rabi,train
West Bengal,Banana,2023,29.36,Rabi,train
Gujarat,Onion,2021,18.64,Rabi,train
Andhra Pradesh,Cotton,2023,0.56,Kharif,train
West Bengal,Banana,2018,41.08,Rabi,train
Maharashtra,Onion,2024,13.94,Rabi,train
West Bengal,Groundnut,2024,1.14,Kharif,train
Rajasthan,Gram,2017,1.1,Rabi,train
Madhya Pradesh,Rice,2016,2.76,Kharif,train
Uttar Pradesh,Soybean,2022,1.14,Kharif,train
Rajasthan,Maize,2016,2.71,Kharif,train
Uttar Pradesh,Sugarcane,2017,63.01,Rabi,train
Gujarat,Gram,2024,1.22,Rabi,train
Karnataka,Gram,2023,0.93,Rabi,train
Andhra Pradesh,Cotton,2025,0.41,Kharif,train
Haryana,Mustard,2021,1.31,Rabi,train
West Bengal,Tomato,2019,24.02,Rabi,train
Uttar Pradesh,Bajra,2017,1.24,Kharif,train
Tamil Nadu,Mustard,2015,1.28,Rabi,train
Haryana,Banana,2015,28.27,Rabi,train
Haryana,Bajra,2021,1.32,Kharif,train
Madhya Pradesh,Maize,2024,2.59,Kharif,train
Bihar,Rice,2018,2.69,Kharif,train
Uttar Pradesh,Groundnut,2021,1.39,Kharif,train
Maharashtra,Soybean,2015,1.31,Kharif,train
Rajasthan,Jowar,2022,0.84,Kharif,train
Maharashtra,Jowar,2021,0.95,Kharif,train
Bihar,Jowar,2015,0.84,Kharif,train
Tamil Nadu,Cotton,2025,0.58,Kharif,train
Haryana,Potato,2022,18.53,Rabi,train
Tamil Nadu,Bajra,2021,1.06,Kharif,train
Andhra Pradesh,Banana,2022,41.77,Rabi,train
Rajasthan,Tomato,2020,22.02,Rabi,train
Punjab,Tomato,2015,28.4,Rabi,train
Punjab,Maize,2017,2.74,Kharif,train
Punjab,Mustard,2016,1.28,Rabi,train
Maharashtra,Cotton,2023,0.45,Kharif,train
Madhya Pradesh,Mustard,2023,1.07,Rabi,train
Andhra Pradesh,Wheat,2018,3.98,Rabi,train
Punjab,Onion,2023,15.28,Rabi,train
West Bengal,Wheat,2025,3.2,Rabi,train
Bihar,Onion,2015,18.14,Rabi,train
West Bengal,Gram,2020,1.29,Rabi,train
West Bengal,Mustard,2022,1.39,Rabi,train
Gujarat,Cotton,2019,0.45,Kharif,train
Tamil Nadu,Gram,2025,1.21,Rabi,train
Uttar Pradesh,Maize,2025,3.23,Kharif,train
West Bengal,Rice,2017,2.77,Kharif,train
Andhra Pradesh,Groundnut,2024,1.27,Kharif,train
Tamil Nadu,Cotton,2018,0.5,Kharif,train
Tamil Nadu,Cotton,2022,0.43,Kharif,train
Gujarat,Maize,2018,3.46,Kharif,train
Gujarat,Wheat,2024,3.39,Rabi,train
Andhra Pradesh,Banana,2023,39.13,Rabi,train
Madhya Pradesh,Rice,2020,3.15,Kharif,train
Uttar Pradesh,Cotton,2016,0.42,Kharif,train
Punjab,Onion,2015,18.15,Rabi,train
Punjab,Maize,2020,3.6,Kharif,train
Gujarat,Soybean,2017,1.24,Kharif,train
Maharashtra,Maize,2023,3.77,Kharif,train
Rajasthan,Rice,2017,2.53,Kharif,train
Punjab,Potato,2015,22.9,Rabi,train
Maharashtra,Mustard,2015,1.49,Rabi,train
Haryana,Gram,2020,1.17,Rabi,train
Madhya Pradesh,Potato,2018,20.45,Rabi,train
Maharashtra,Jowar,2023,0.82,Kharif,train
Punjab,Rice,2022,2.71,Kharif,train
Madhya Pradesh,Mustard,2015,1.21,Rabi,train
Tamil Nadu,Potato,2019,20.84,Rabi,train
Uttar Pradesh,Rice,2021,2.62,Kharif,train
Punjab,Sugarcane,2018,80.5,Rabi,train
Gujarat,Mustard,2016,1.51,Rabi,train
Punjab,Soybean,2022,0.88,Kharif,train
