class_name,crop,disease,treatment_html,cnn_scannable,split
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato Yellow Leaf Curl Virus," <b>Crop</b>: Tomato <br/>Disease: Yellow Leaf Curl Virus<br/>
        <br/> Cause of disease:

        <br/><br/> 1. TYLCV is transmitted by the insect vector Bemisia tabaci in a persistent-circulative nonpropagative manner. The virus can be efficiently transmitted during the adult stages.

        <br/> 2. This virus transmission has a short acquisition access period of 15–20 minutes, and latent period of 8–24 hours.
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Currently, the most effective treatments used to control the spread of TYLCV are insecticides and resistant crop varieties.

        <br/>2. The effectiveness of insecticides is not optimal in tropical areas due to whitefly resistance against the insecticides; therefore, insecticides should be alternated or mixed to provide the most effective treatment against virus transmission.
        
        <br/>3. Other methods to control the spread of TYLCV include planting resistant/tolerant lines, crop rotation, and breeding for resistance of TYLCV. As with many other plant viruses, one of the most promising methods to control TYLCV is the production of transgenic tomato plants resistant to TYLCV.",True,train
Onion___Basal_rot,Onion,Basal rot,"<b>Crop</b>: Onion <br/><b>Disease</b>: Basal Rot (Fusarium oxysporum f.sp. cepae)<br/><br/>
    <b>Symptoms</b>: Yellowing and dieback of leaf tips, white fungal growth on the basal plate, roots rot and bulbs come away easily; rot continues in storage.<br/><br/>
    <b>Management</b>:<br/>1. Long crop rotation (4 years) away from onion and garlic.<br/>2. Soil application of Trichoderma viride 2.5 kg/ha with FYM.<br/>3. Seedling root dip in Carbendazim 1 g/L before transplanting.<br/>4. Improve drainage; avoid mechanical injury at harvest.<br/>5. Cure bulbs properly before storage.",False,train
Onion___Purple_blotch,Onion,Purple blotch,"<b>Crop</b>: Onion <br/><b>Disease</b>: Purple Blotch (Alternaria porri)<br/><br/>
    <b>Symptoms</b>: Small white sunken spots on leaves that enlarge into purple-brown zonate lesions with yellow margins; leaves break at the lesion, bulbs stay small.<br/><br/>
    <b>Management</b>:<br/>1. Spray Mancozeb 2.5 g/L or Difenoconazole 0.5 ml/L with a sticker (onion leaves are waxy).<br/>2. Start sprays 30 days after transplanting, repeat every 10-15 days.<br/>3. Avoid excess irrigation and improve drainage.<br/>4. Crop rotation of 2-3 years; destroy infected debris.",False,train
Okra___Yellow_vein_mosaic,Okra,Yellow vein mosaic,"<b>Crop</b>: Okra (Bhindi) <br/><b>Disease</b>: Yellow Vein Mosaic Virus (whitefly transmitted)<br/><br/>
    <b>Symptoms</b>: Bright yellow network of veins on leaves, later the whole leaf turns yellow; fruits become small, pale yellow and unmarketable.<br/><br/>
    <b>Management</b>:<br/>1. Grow resistant varieties (Arka Anamika, Parbhani Kranti).<br/>2. Control whitefly: Diafenthiuron 1 g/L or Imidacloprid 0.3 ml/L.<br/>3. Yellow sticky traps @ 12/ha.<br/>4. Rogue out infected plants early.<br/>5. Avoid growing near cotton or other whitefly hosts.",False,train
Orange___Haunglongbing_(Citrus_greening),Orange,Haunglongbing (Citrus greening)," <b>Crop</b>: Orange <br/>Disease: Citrus Greening<br/>
        <br/> Cause of disease:

        <br/><br/>  Huanglongbing (HLB) or citrus greening is the most severe citrus disease, currently devastating the citrus industry worldwide. The presumed causal bacterial agent Candidatus Liberibacter spp. affects tree health as well as fruit development, ripening and quality of citrus fruits and juice.


        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. In regions where disease incidence is low, the most common practices are avoiding the spread of infection by removal of symptomatic trees, protecting grove edges through intensive monitoring, use of pesticides, and biological control of the vector ACP.

        <br/>2. According to Singerman and Useche (2016), CHMAs coordinate insecticide application to control the ACP spreading across area-wide neighboring commercial citrus groves as part of a plan to address the HLB disease.
        
        <br/>3. In addition to foliar nutritional sprays, plant growth regulators were tested, unsuccessfully, to reduce HLB-associated fruit drop (Albrigo and Stover, 2015).",True,train
Squash___Powdery_mildew,Squash,Powdery mildew," <b>Crop</b>: Squash <br/>Disease: Powdery mildew<br/>
        <br/> Cause of disease:

        <br/><br/> 1. Powdery mildew infections favor humid conditions with temperatures around 68-81° F

        <br/> 2. In warm, dry conditions, new spores form and easily spread the disease.
        <br/> 3. Symptoms of powdery mildew first appear mid to late summer in Minnesota.  The older leaves are more susceptible and powdery mildew will infect them first.
        <br/> 4. Wind blows spores produced in leaf spots to infect other leaves.
        <br/> 5. Under favorable conditions, powdery mildew can spread very rapidly, often covering all of the leaves.

        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Apply fertilizer based on soil test results. Avoid over-applying nitrogen.

        <br/>2. Provide good air movement around plants through proper spacing, staking of plants and weed control.
        
        <br/>3. Once a week, examine five mature leaves for powdery mildew infection. In large plantings, repeat at 10 different locations in the field.
        <br/>4. If susceptible varieties are growing in an area where powdery mildew has resulted in yield loss in the past, fungicide may be necessary.",True,train
Rice___Brown_spot,Rice,Brown spot,"<b>Crop</b>: Rice <br/><b>Disease</b>: Brown Spot (Bipolaris oryzae)<br/><br/>
    <b>Symptoms</b>: Small circular to oval brown spots with grey centres and yellow halos on leaves; dark spots on grains reducing quality.<br/><br/>
    <b>Note</b>: Strongly linked to poor soil fertility, especially potassium and silicon deficiency.<br/><br/>
    <b>Management</b>:<br/>1. Correct soil nutrition — apply potash and silicon.<br/>2. Seed treatment with Carbendazim 2 g/kg or hot water (54°C, 10 min).<br/>3. Spray Mancozeb 2.5 g/L or Propiconazole 1 ml/L.<br/>4. Ensure adequate irrigation; drought stress worsens it.",False,train
Potato___Late_blight,Potato,Late blight," <b>Crop</b>: Potato <br/>Disease: Late Blight<br/>

        Late blight is a potentially devastating disease of potato, infecting leaves, stems and fruits of plants. The disease spreads quickly in fields and can result in total crop failure if untreated. Late blight of potato was responsible for the Irish potato famine of the late 1840s.              
        <br/> Cause of disease:

        <br/><br/> 1. Late blight is caused by the oomycete Phytophthora infestans. Oomycetes are fungus-like organisms also called water molds, but they are not true fungi.

        <br/> 2. There are many different strains of P. infestans. These are called clonal lineages and designated by a number code (i.e. US-23). Many clonal lineages affect both tomato and potato, but some lineages are specific to one host or the other.
        <br/> 3. The host range is typically limited to potato and tomato, but hairy nightshade (Solanum physalifolium) is a closely related weed that can readily become infected and may contribute to disease spread. Under ideal conditions, such as a greenhouse, petunia also may become infected.
        
        
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Seed infection is unlikely on commercially prepared tomato seed or on saved seed that has been thoroughly dried.

        <br/>2. Inspect tomato transplants for late blight symptoms prior to purchase and/or planting, as tomato transplants shipped from southern regions may be infected
        
        <br/>3. If infection is found in only a few plants within a field, infected plants should be removed, disced-under, killed with herbicide or flame-killed to avoid spreading through the entire field.",True,train
Cotton___Leaf_curl_virus,Cotton,Leaf curl virus,"<b>Crop</b>: Cotton <br/><b>Disease</b>: Cotton Leaf Curl Virus (CLCuV, whitefly transmitted)<br/><br/>
    <b>Symptoms</b>: Upward or downward curling of leaves, thickened dark veins, enations (leaf-like outgrowths) on the underside, stunted plants with few bolls.<br/><br/>
    <b>Management</b>:<br/>1. Grow tolerant varieties.<br/>2. Control the whitefly vector — yellow sticky traps, Diafenthiuron 1 g/L or Flonicamid 0.3 g/L.<br/>3. Rogue out infected plants early.<br/>4. Avoid growing okra/other hosts near cotton.<br/>5. Early sowing escapes peak whitefly.",False,train
Tomato___healthy,Tomato,healthy," <b>Crop</b>: Tomato <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,train
Brinjal___Fruit_and_shoot_borer,Brinjal,Fruit and shoot borer,"<b>Crop</b>: Brinjal <br/><b>Pest</b>: Fruit and Shoot Borer (Leucinodes orbonalis)<br/><br/>
    <b>Symptoms</b>: Wilting and drooping of young shoots with bore holes; larvae tunnel inside fruits making them unmarketable. The single biggest brinjal pest.<br/><br/>
    <b>Management</b>:<br/>1. Clip and destroy infested shoots weekly — very effective.<br/>2. Pheromone traps @ 12/ha.<br/>3. Release Trichogramma chilonis @ 50,000/ha.<br/>4. Neem seed kernel extract 5%.<br/>5. Chemical: Emamectin benzoate 0.4 g/L or Chlorantraniliprole 0.3 ml/L, observing the waiting period before harvest.",False,train
Onion___Thrips,Onion,Thrips,"<b>Crop</b>: Onion <br/><b>Pest</b>: Onion Thrips (Thrips tabaci)<br/><br/>
    <b>Symptoms</b>: Silvery-white streaks and blotches on leaves, curled and distorted leaf tips, severely reduced bulb size. Worst in hot dry weather.<br/><br/>
    <b>Management</b>:<br/>1. Blue sticky traps @ 15/ha to monitor.<br/>2. Spray Fipronil 2 ml/L or Spinosad 0.3 ml/L with a wetting agent.<br/>3. Alternate insecticide groups; thrips develop resistance fast.<br/>4. Maize or wheat as a barrier crop around the field.<br/>5. Adequate irrigation reduces thrips build-up.",False,train
Corn_(maize)___healthy,Corn (maize),healthy," <b>Crop</b>: Corn(maize) <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,train
Tomato___Leaf_Mold,Tomato,Leaf Mold," <b>Crop</b>: Tomato <br/>Disease: Leaf Mold<br/>
        <br/> Cause of disease:

        <br/><br/> 1. Leaf mold is caused by the fungus Passalora fulva (previously called Fulvia fulva or Cladosporium fulvum). It is not known to be pathogenic on any plant other than tomato.

        <br/> 2. Leaf spots grow together and turn brown. Leaves wither and die but often remain attached to the plant.
        <br/> 3. Fruit infections start as a smooth black irregular area on the stem end of the fruit. As the disease progresses, the infected area becomes sunken, dry and leathery.
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Use drip irrigation and avoid watering foliage.

        <br/>2. Space plants to provide good air movement between rows and individual plants.
        
        <br/>3. Stake, string or prune to increase airflow in and around the plant.
        <br/>4. Sterilize stakes, ties, trellises etc. with 10 percent household bleach or commercial sanitizer.
        <br/>5. Circulate air in greenhouses or tunnels with vents and fans and by rolling up high tunnel sides to reduce humidity around plants.
        <br/>6. Keep night temperatures in greenhouses higher than outside temperatures to avoid dew formation on the foliage.
        <br/>7. Remove crop residue at the end of the season. Burn it or bury it away from tomato production areas.",True,train
Groundnut___Collar_rot,Groundnut,Collar rot,"<b>Crop</b>: Groundnut <br/><b>Disease</b>: Collar Rot (Aspergillus niger)<br/><br/>
    <b>Symptoms</b>: Seedling death soon after emergence; the collar region shows a black powdery fungal mass and shreds easily.<br/><br/>
    <b>Management</b>:<br/>1. Seed treatment with Carbendazim 2 g/kg or Trichoderma 10 g/kg — most important step.<br/>2. Avoid sowing in very hot, dry soil.<br/>3. Ensure good soil moisture at sowing.<br/>4. Add FYM to improve soil biology.",False,val
Chilli___Bacterial_leaf_spot,Chilli,Bacterial leaf spot,"<b>Crop</b>: Chilli <br/><b>Disease</b>: Bacterial Leaf Spot (Xanthomonas campestris)<br/><br/>
    <b>Symptoms</b>: Small water-soaked spots that become brown with yellow halos; severe defoliation; raised scabby spots on fruits.<br/><br/>
    <b>Management</b>:<br/>1. Seed treatment with Streptocycline 100 ppm for 30 minutes.<br/>2. Spray Copper oxychloride 3 g/L + Streptocycline 100 ppm.<br/>3. Avoid working in the field when foliage is wet.<br/>4. Crop rotation of 2 years with non-solanaceous crops.",False,val
Tomato___Tomato_mosaic_virus,Tomato,Tomato mosaic virus," <b>Crop</b>: Tomato <br/>Disease: Mosaic Virus<br/>
        <br/> Cause of disease:

        <br/><br/> 1. Tomato mosaic virus and tobacco mosaic virus can exist for two years in dry soil or leaf debris, but will only persist one month if soil is moist. The viruses can also survive in infected root debris in the soil for up to two years.

        <br/> 2. Seed can be infected and pass the virus to the plant but the disease is usually introduced and spread primarily through human activity. The virus can easily spread between plants on workers' hands, tools, and clothes with normal activities such as plant tying, removing of suckers, and harvest 
        <br/> 3. The virus can even survive the tobacco curing process, and can spread from cigarettes and other tobacco products to plant material handled by workers after a cigarette


        <br/><br/> How to prevent/cure the disease <br/>


        <br/>1. Purchase transplants only from reputable sources. Ask about the sanitation procedures they use to prevent disease.

        <br/>2. Inspect transplants prior to purchase. Choose only transplants showing no clear symptoms.
        
        <br/>3. Avoid planting in fields where tomato root debris is present, as the virus can survive long-term in roots.
        <br/>4. Wash hands with soap and water before and during the handling of plants to reduce potential spread between plants.",True,val
Tomato___Bacterial_spot,Tomato,Bacterial spot," <b>Crop</b>: Tomato <br/>Disease: Bacterial Spot<br/>
        <br/> Cause of disease:

        <br/><br/> 1. The disease is caused by four species of Xanthomonas (X. euvesicatoria, X. gardneri, X. perforans, and X. vesicatoria). In North Carolina, X. perforans is the predominant species associated with bacterial spot on tomato and X. euvesicatoria is the predominant species associated with the disease on pepper.

        <br/> 2. All four bacteria are strictly aerobic, gram-negative rods with a long whip-like flagellum (tail) that allows them to move in water, which allows them to invade wet plant tissue and cause infection.
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. The most effective management strategy is the use of pathogen-free certified seeds and disease-free transplants to prevent the introduction of the pathogen into greenhouses and field production areas. Inspect plants very carefully and reject infected transplants- including your own!

        <br/>2. In transplant production greenhouses, minimize overwatering and handling of seedlings when they are wet.
        
        <br/>3. Trays, benches, tools, and greenhouse structures should be washed and sanitized between seedlings crops.
        <br/>4. Do not spray, tie, harvest, or handle wet plants as that can spread the disease",True,val
Wheat___Yellow_rust,Wheat,Yellow rust,"<b>Crop</b>: Wheat <br/><b>Disease</b>: Yellow / Stripe Rust (Puccinia striiformis)<br/><br/>
    <b>Symptoms</b>: Bright yellow-orange pustules arranged in narrow stripes between leaf veins. Severe attack dries leaves and shrivels grain.<br/><br/>
    <b>Favourable conditions</b>: Cool 10-15°C with dew — common in North Indian plains and hills.<br/><br/>
    <b>Management</b>:<br/>1. Grow resistant varieties (HD 3086, PBW 725, DBW 187).<br/>2. Timely sowing; avoid very late sowing.<br/>3. Spray Propiconazole 25EC @ 1 ml/L at first appearance; repeat in 15 days.<br/>4. Tebuconazole 2 ml/L is an alternative.<br/>5. Monitor fields from January onward.",False,val
Groundnut___Tikka_leaf_spot,Groundnut,Tikka leaf spot,"<b>Crop</b>: Groundnut <br/><b>Disease</b>: Tikka / Cercospora Leaf Spot<br/><br/>
    <b>Symptoms</b>: Circular dark brown spots with yellow halos on leaflets; early leaf spot has a lighter centre, late leaf spot is nearly black. Severe defoliation reduces pod yield sharply.<br/><br/>
    <b>Management</b>:<br/>1. Spray Chlorothalonil 2 g/L or Mancozeb 2.5 g/L at 30 and 45 days after sowing.<br/>2. Tebuconazole 1 ml/L for severe cases.<br/>3. Crop rotation with cereals; deep ploughing to bury debris.<br/>4. Resistant varieties where available.",False,val
Apple___Black_rot,Apple,Black rot," <b>Crop</b>: Apple <br/>Disease: Black Rot<br/>
        <br/> Cause of disease:

        <br/><br/>Black rot is caused by the fungus Diplodia seriata (syn Botryosphaeria obtusa).The fungus can infect dead tissue as well as living trunks, branches, leaves and fruits. In wet weather, spores are released from these infections and spread by wind or splashing water. The fungus infects leaves and fruit through natural openings or minor wounds.
        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Prune out dead or diseased branches.

        <br/>2. Prune out dead or diseased branches.
        
        <br/>3. Remove infected plant material from the area.
        <br/>4. Remove infected plant material from the area.
        <br/>5. Be sure to remove the stumps of any apple trees you cut down. Dead stumps can be a source of spores.",True,val
Sugarcane___Early_shoot_borer,Sugarcane,Early shoot borer,"<b>Crop</b>: Sugarcane <br/><b>Pest</b>: Early Shoot Borer (Chilo infuscatellus)<br/><br/>
    <b>Symptoms</b>: Dead heart in young shoots that pulls out easily with a rotten smell; bore holes near ground level. Attacks up to 4 months.<br/><br/>
    <b>Management</b>:<br/>1. Early planting and light earthing up.<br/>2. Trash mulching reduces egg laying significantly.<br/>3. Release Trichogramma chilonis @ 50,000/ha at 15-day intervals.<br/>4. Remove and destroy dead hearts.<br/>5. Chlorantraniliprole 0.4 ml/L soil drench if severe.",False,test
Raspberry___healthy,Raspberry,healthy," <b>Crop</b>: Raspberry <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,test
Apple___Cedar_apple_rust,Apple,Cedar apple rust," <b>Crop</b>: Apple <br/>Disease: Cedar Apple Rust<br/>
        <br/> Cause of disease:

        <br/><br/>Cedar apple rust (Gymnosporangium juniperi-virginianae) is a fungal disease that depends on two species to spread and develop. It spends a portion of its two-year life cycle on Eastern red cedar (Juniperus virginiana). The pathogen’s spores develop in late fall on the juniper as a reddish brown gall on young branches of the trees.

        <br/><br/> How to prevent/cure the disease <br/>
        <br/>1. Since the juniper galls are the source of the spores that infect the apple trees, cutting them is a sound strategy if there aren’t too many of them.

        <br/>2. While the spores can travel for miles, most of the ones that could infect your tree are within a few hundred feet.
        
        <br/>3. The best way to do this is to prune the branches about 4-6 inches below the galls.",True,test
Strawberry___healthy,Strawberry,healthy," <b>Crop</b>: Strawberry <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,test
Potato___healthy,Potato,healthy," <b>Crop</b>: Potato <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,test
Chilli___Anthracnose_fruit_rot,Chilli,Anthracnose fruit rot,"<b>Crop</b>: Chilli <br/><b>Disease</b>: Anthracnose / Die-back (Colletotrichum capsici)<br/><br/>
    <b>Symptoms</b>: Sunken circular black spots with concentric rings on ripe fruits; twig die-back from the tip downwards; heavy fruit drop.<br/><br/>
    <b>Management</b>:<br/>1. Use disease-free certified seed; treat with Carbendazim 2 g/kg.<br/>2. Remove and destroy infected fruits and twigs.<br/>3. Spray Carbendazim 1 g/L or Mancozeb 2.5 g/L at 10-day intervals from fruit set.<br/>4. Avoid overhead irrigation and harvest ripe fruit promptly.",False,test
Grape___healthy,Grape,healthy," <b>Crop</b>: Grape <br/>Disease: No disease<br/>

        <br/><br/> Don't worry. Your crop is healthy. Keep it up !!!",True,test
Sugarcane___Smut,Sugarcane,Smut,"<b>Crop</b>: Sugarcane <br/><b>Disease</b>: Whip Smut (Sporisorium scitamineum)<br/><br/>
    <b>Symptoms</b>: A long black whip-like structure emerging from the growing point; plants become thin, grassy, with poor sugar recovery.<br/><br/>
    <b>Management</b>:<br/>1. Plant resistant varieties and healthy setts from disease-free fields.<br/>2. Sett treatment with Carbendazim 0.1% or Propiconazole 0.1%.<br/>3. Cover the whip with a polythene bag before removing to stop spore spread; then destroy.<br/>4. Avoid ratooning affected crop.",False,test
